type	title	r2Key	officialPreviewUrl
PDF	DOE-UAP-D004, Los Alamos Conference on Aerial Phenomena, 1949	release-04/DOE-UAP-D004_Los-Alamos-Conference-on-Aerial-Phenomena_1949.jpg	https://www.war.gov/portals/1/Interactive/2026/UFO/071026/Slideshow/DOE-UAP-D004_Los-Alamos-Conference-on-Aerial-Phenomena_1949.jpg
PDF	DOW-UAP-D094, Analysis of Flying Object Incidents in the United States, 1949	release-04/DOW-UAP-D094_Analysis-of-Flying-Object-Incidents-in-the-US_1949.jpg	https://www.war.gov/portals/1/Interactive/2026/UFO/071026/Slideshow/DOW-UAP-D094_Analysis-of-Flying-Object-Incidents-in-the-US_1949.jpg
PDF	DOW-UAP-D097, Project Sign Progress Report, 1948	release-04/DOW-UAP-D097_Project-Sign-Progress-Report_1948.jpg	https://www.war.gov/portals/1/Interactive/2026/UFO/071026/Slideshow/DOW-UAP-D097_Project-Sign-Progress-Report_1948.jpg
VID	DOW-UAP-PR104, Unresolved UAP Report, Yellow Sea, 2025	release-04/DOW-UAP-PR104_Unresolved-UAP-Report_Yellow-Sea_2025.jpg	https://www.war.gov/portals/1/Interactive/2026/UFO/071026/Slideshow/DOW-UAP-PR104_Unresolved-UAP-Report_Yellow-Sea_2025.jpg
VID	DOW-UAP-PR105, Unresolved UAP Report, East China Sea, 2025	release-04/DOW-UAP-PR105_Unresolved-UAP-Report_East-China-Sea_2025.jpg	https://www.war.gov/portals/1/Interactive/2026/UFO/071026/Slideshow/DOW-UAP-PR105_Unresolved-UAP-Report_East-China-Sea_2025.jpg
VID	DOW-UAP-PR113, Unresolved UAP Report, Western United States, 1996	release-04/DOW-UAP-PR113_Unresolved-UAP-Report_Western-US_1996.jpg	https://www.war.gov/portals/1/Interactive/2026/UFO/071026/Slideshow/DOW-UAP-PR113_Unresolved-UAP-Report_Western-US_1996.jpg
VID	DOW-UAP-PR115, Unresolved UAP Report, Gulf of America, 2019	release-04/DOW-UAP-PR115_Unresolved-UAP-Report_Gulf-of-America_2019.jpg	https://www.war.gov/portals/1/Interactive/2026/UFO/071026/Slideshow/DOW-UAP-PR115_Unresolved-UAP-Report_Gulf-of-America_2019.jpg
IMG	NASA-UAP-D030, STS-80 Unidentified Object Image 1, 1996	release-04/NASA-UAP-D030_STS-80-Unidentified-Object-Image1_1996.jpg	https://www.war.gov/portals/1/Interactive/2026/UFO/071026/Slideshow/NASA-UAP-D030_STS-80-Unidentified-Object-Image1_1996.jpg
IMG	NASA-UAP-D031, STS-80 Unidentified Object Image 2, 1996	release-04/NASA-UAP-D031_STS-80-Unidentified-Object-Image2_1996.jpg	https://www.war.gov/portals/1/Interactive/2026/UFO/071026/Slideshow/NASA-UAP-D031_STS-80-Unidentified-Object-Image2_1996.jpg
IMG	NASA-UAP-D032, STS-80 Unidentified Object Image 3, 1996	release-04/NASA-UAP-D032_STS-80-Unidentified-Object-Image3_1996.jpg	https://www.war.gov/portals/1/Interactive/2026/UFO/071026/Slideshow/NASA-UAP-D032_STS-80-Unidentified-Object-Image3_1996.jpg
