type	title	r2Key	sourceFile
VID	DOW-UAP-PR104, Unresolved UAP Report, Yellow Sea, 2025	release-04/videos/DOW-UAP-PR104_Unresolved-UAP-Report_Yellow-Sea_2025.mp4	DOD_111830004.mp4
VID	DOW-UAP-PR105, Unresolved UAP Report, East China Sea, 2025	release-04/videos/DOW-UAP-PR105_Unresolved-UAP-Report_East-China-Sea_2025.mp4	DOD_111830007.mp4
VID	DOW-UAP-PR113, Unresolved UAP Report, Western US, 1996	release-04/videos/DOW-UAP-PR113_Unresolved-UAP-Report_Western-US_1996.mp4	DOD_111830012.mp4
VID	DOW-UAP-PR115, Unresolved UAP Report, Gulf of America, 2019	release-04/videos/DOW-UAP-PR115_Unresolved-UAP-Report_Gulf-of-America_2019.mp4	DOD_111830015.mp4
VID	DOW-UAP-PR024, Unresolved UAP Report, Middle East, 2023	release-04/videos/DOW-UAP-PR024_Unresolved-UAP-Report_Middle-East_2023.mp4	DOD_111830020.mp4
VID	DOW-UAP-PR030, Unresolved UAP Report, Middle East, 2023	release-04/videos/DOW-UAP-PR030_Unresolved-UAP-Report_Middle-East_2023.mp4	DOD_111830027.mp4
VID	DOW-UAP-PR100, Unresolved UAP Report, Yellow Sea, 2023	release-04/videos/DOW-UAP-PR100_Unresolved-UAP-Report_Yellow-Sea_2023.mp4	DOD_111830028.mp4
VID	DOW-UAP-PR101, Unresolved UAP Report, South China Sea, 2024	release-04/videos/DOW-UAP-PR101_Unresolved-UAP-Report_South-China-Sea_2024.mp4	DOD_111830030.mp4
VID	DOW-UAP-PR102, Unresolved UAP Report, East China Sea, 2024	release-04/videos/DOW-UAP-PR102_Unresolved-UAP-Report_East-China-Sea_2024.mp4	DOD_111830034.mp4
VID	DOW-UAP-PR103, Unresolved UAP Report, East China Sea, 2024	release-04/videos/DOW-UAP-PR103_Unresolved-UAP-Report_East-China-Sea_2024.mp4	DOD_111830041.mp4
VID	DOW-UAP-PR106, Unresolved UAP Report, Eastern United States, 2020	release-04/videos/DOW-UAP-PR106_Unresolved-UAP-Report_Eastern-United-States_2020.mp4	DOD_111830058.mp4
AUD	NASA-UAP-D026, Apollo 14 Debriefing, 1971	release-04/videos/NASA-UAP-D026_Apollo-14-Debriefing_1971.mp4	DOD_111830063.mp4
VID	DOW-UAP-PR107, Unresolved UAP Report, Eastern United States, 2020	release-04/videos/DOW-UAP-PR107_Unresolved-UAP-Report_Eastern-United-States_2020.mp4	DOD_111830065.mp4
AUD	NASA-UAP-D027, Apollo 14 Debriefing Continued, 1971	release-04/videos/NASA-UAP-D027_Apollo-14-Debriefing-Continued_1971.mp4	DOD_111830069.mp4
VID	DOW-UAP-PR108, Unresolved UAP Report, Western United States, 2020	release-04/videos/DOW-UAP-PR108_Unresolved-UAP-Report_Western-United-States_2020.mp4	DOD_111830075.mp4
VID	DOW-UAP-PR109, Unresolved UAP Report, Eastern United States, 2015	release-04/videos/DOW-UAP-PR109_Unresolved-UAP-Report_Eastern-United-States_2015.mp4	DOD_111830080.mp4
AUD	NASA-UAP-D028, Apollo 17 Crew Medical Debriefing, 1972	release-04/videos/NASA-UAP-D028_Apollo-17-Crew-Medical-Debriefing_1972.mp4	DOD_111830085.mp4
AUD	NASA-UAP-D029, Apollo 17 Crew Medical Debriefing Continued, 1972	release-04/videos/NASA-UAP-D029_Apollo-17-Crew-Medical-Debriefing-Continued_1972.mp4	DOD_111830092.mp4
VID	DOW-UAP-PR110, Unresolved UAP Report, Eastern United States, 2020	release-04/videos/DOW-UAP-PR110_Unresolved-UAP-Report_Eastern-United-States_2020.mp4	DOD_111830133.mp4
VID	DOW-UAP-PR111, Unresolved UAP Report, Eastern United States, 2020	release-04/videos/DOW-UAP-PR111_Unresolved-UAP-Report_Eastern-United-States_2020.mp4	DOD_111830143.mp4
VID	DOW-UAP-PR112, Unresolved UAP Report, Eastern United States, 2019	release-04/videos/DOW-UAP-PR112_Unresolved-UAP-Report_Eastern-United-States_2019.mp4	DOD_111830147.mp4
VID	DOW-UAP-PR114, Unresolved UAP Report, Atlantic Ocean, 2016	release-04/videos/DOW-UAP-PR114_Unresolved-UAP-Report_Atlantic-Ocean_2016.mp4	DOD_111830151.mp4
VID	DOW-UAP-PR116, Unresolved UAP Report, Atlantic Ocean, 2020	release-04/videos/DOW-UAP-PR116_Unresolved-UAP-Report_Atlantic-Ocean_2020.mp4	DOD_111830201.mp4
