type	title	r2Key	sourceFile
PDF	DOW-UAP-D098, Film Analysis of Unidentified Objects, 1953	release-05/documents/DOW-UAP-D098_Film-Analysis-of-Unidentified-Objects_1953.pdf	DOW-UAP-D098_Film-Analysis-of-Unidentified-Objects_1953.pdf
PDF	FBI-UAP-D027, Digital Rendering, “Dark Translucent Triangle,” 2023	release-05/documents/FBI-UAP-D027_Digital-Rendering_Dark-Translucent-Triangle_2023.pdf	FBI-UAP-D027_Digital-Rendering_Dark-Translucent-Triangle_2023.pdf
PDF	FBI-UAP-D038, Digital Rendering 1, “Multiple Red Lights,” 2026	release-05/documents/FBI-UAP-D038_Digital-Rendering-1_Multiple-Red-Lights_2026.pdf	FBI-UAP-D038_Digital-Rendering-1_Multiple-Red-Lights_2026.pdf
PDF	FBI-UAP-D039, Digital Rendering 2, “Multiple Red Lights,” 2026	release-05/documents/FBI-UAP-D039_Digital-Rendering-2_Multiple-Red-Lights_2026.pdf	FBI-UAP-D039_Digital-Rendering-2_Multiple-Red-Lights_2026.pdf
PDF	FBI-UAP-D041, Digital Rendering 1, “Multiple Red Lights,” 2026	release-05/documents/FBI-UAP-D041_Digital-Rendering-1_Multiple-Red-Lights_2026.pdf	FBI-UAP-D041_Digital-Rendering-1_Multiple-Red-Lights_2026.pdf
PDF	FBI-UAP-D042, Digital Rendering 2, “Multiple Red Lights,” 2026	release-05/documents/FBI-UAP-D042_Digital-Rendering-2_Multiple-Red-Lights_2026.pdf	FBI-UAP-D042_Digital-Rendering-2_Multiple-Red-Lights_2026.pdf
PDF	CIA-UAP-D022, Unidentified Flying Object Reported near Puerto Rico, 1965	release-05/documents/CIA-UAP-D022_Unidentified-Flying-Object-Reported-near-Puerto-Rico_1965.pdf	CIA-UAP-D022_Unidentified-Flying-Object-Reported-near-Puerto-Rico_1965.pdf
PDF	CIA-UAP-D023, Briefing Notes for Mr. Walter Elder	release-05/documents/CIA-UAP-D023_Briefing-Notes-for-Mr-Walter-Elder.pdf	CIA-UAP-D023_Briefing-Notes-for-Mr-Walter-Elder.pdf
PDF	DOS-UAP-D001, Diplomatic Cable, Brazil, November 14, 1963	release-05/documents/DOS-UAP-D001_Diplomatic-Cable_Brazil_November-14-1963.pdf	DOS-UAP-D001_Diplomatic-Cable_Brazil_November-14-1963.pdf
PDF	DOS-UAP-D002, Diplomatic Cable, Brazil, November 20, 1963	release-05/documents/DOS-UAP-D002_Diplomatic-Cable_Brazil_November-20-1963.pdf	DOS-UAP-D002_Diplomatic-Cable_Brazil_November-20-1963.pdf
PDF	DOW-UAP-D099, Intelligence Review of “Ghost Rocket” Incidents, 1947	release-05/documents/DOW-UAP-D099_Intelligence-Review-of-Ghost-Rocket-Incidents_1947.pdf	DOW-UAP-D099_Intelligence-Review-of-Ghost-Rocket-Incidents_1947.pdf
PDF	DOW-UAP-D100, Air Materiel Command Report on Unidentified Flying Objects, 1947-1948	release-05/documents/DOW-UAP-D100_Air-Materiel-Command-Report-on-UFOs_1947-1948.pdf	DOW-UAP-D100_Air-Materiel-Command-Report-on-UFOs_1947-1948.pdf
