Type	Title	R2 Key	Official Filename
VID	DOW-UAP-PR117, Unresolved UAP Report, Gulf of Oman, 2021	release-05/videos/DOD_111887401.mp4	DOD_111887401.mp4
VID	DOW-UAP-PR118, Unresolved UAP Report, Gulf of Oman, 2021	release-05/videos/DOD_111887407.mp4	DOD_111887407.mp4
VID	DOW-UAP-PR119, Unresolved UAP Report, Gulf of Oman, 2021	release-05/videos/DOD_111887421.mp4	DOD_111887421.mp4
VID	DOW-UAP-PR120, Unresolved UAP Report, Gulf of Oman, 2021	release-05/videos/DOD_111887427.mp4	DOD_111887427.mp4
VID	DOW-UAP-PR121, Unresolved UAP Report, Gulf of Oman, 2021	release-05/videos/DOD_111887439.mp4	DOD_111887439.mp4
VID	DOW-UAP-PR122, Unresolved UAP Report, Gulf of Oman, 2021	release-05/videos/DOD_111887446.mp4	DOD_111887446.mp4
VID	DOW-UAP-PR123, Unresolved UAP Report, Pacific Ocean, 2019	release-05/videos/DOD_111887456.mp4	DOD_111887456.mp4
VID	DOW-UAP-PR124, Unresolved UAP Report, Pacific Ocean, 2019	release-05/videos/DOD_111887460.mp4	DOD_111887460.mp4
VID	DOW-UAP-PR125, Unresolved UAP Report, Pacific Ocean, 2019	release-05/videos/DOD_111887376.mp4	DOD_111887376.mp4
VID	DOW-UAP-PR126, Unresolved UAP Report, Pacific Ocean, 2019	release-05/videos/DOD_111887380.mp4	DOD_111887380.mp4
VID	DOW-UAP-PR127, Unresolved UAP Report, Pacific Ocean, 2019	release-05/videos/DOD_111887384.mp4	DOD_111887384.mp4
VID	DOW-UAP-PR134, Unresolved UAP Report, Middle East, 2025	release-05/videos/DOD_111887390.mp4	DOD_111887390.mp4
VID	DOW-UAP-PR136, Unresolved UAP Report, Middle East, 2023	release-05/videos/DOD_111887413.mp4	DOD_111887413.mp4
VID	DOW-UAP-PR142, Unresolved UAP Report, Middle East, 2025	release-05/videos/DOD_111887419.mp4	DOD_111887419.mp4
VID	DOW-UAP-PR149, Unresolved UAP Report, Middle East, 2023	release-05/videos/DOD_111887426.mp4	DOD_111887426.mp4
VID	FBI-UAP-PR007, “Slow-moving Objects,” 2026	release-05/videos/DOD_111887430.mp4	DOD_111887430.mp4
